Link Name,Center of Mass X,Center of Mass Y,Center of Mass Z,Center of Mass Roll,Center of Mass Pitch,Center of Mass Yaw,Mass,Moment Ixx,Moment Ixy,Moment Ixz,Moment Iyy,Moment Iyz,Moment Izz,Visual X,Visual Y,Visual Z,Visual Roll,Visual Pitch,Visual Yaw,Mesh Filename,Color Red,Color Green,Color Blue,Color Alpha,Collision X,Collision Y,Collision Z,Collision Roll,Collision Pitch,Collision Yaw,Collision Mesh Filename,Material Name,SW Components,Coordinate System,Axis Name,Joint Name,Joint Type,Joint Origin X,Joint Origin Y,Joint Origin Z,Joint Origin Roll,Joint Origin Pitch,Joint Origin Yaw,Parent,Joint Axis X,Joint Axis Y,Joint Axis Z,Limit Effort,Limit Velocity,Limit Lower,Limit Upper,Calibration rising,Calibration falling,Dynamics Damping,Dynamics Friction,Safety Soft Upper,Safety Soft Lower,Safety K Position,Safety K Velocity
base_link,0.00429583361280242,1.8350913410542E-05,0.205950891302231,0,0,0,35.3025669533502,0.4232985479226,4.86109162149927E-08,-0.00486667134346476,0.401621758001477,-9.81159529779743E-11,0.391340471297013,0,0,0,0,0,0,package://x_omni4wd_description/meshes/base_link.STL,0.752941176470588,0.752941176470588,0.752941176470588,1,0,0,0,0,0,0,package://x_omni4wd_description/meshes/base_link.STL,,base1-1;base2-1;base3-1;base_sensor-1,Coordinate System1,,,,0,0,0,0,0,0,,0,0,0,,,,,,,,,,,,
front_left_wheel_link,0.0348043452069793,1.20736753927986E-14,-1.96509475358653E-14,0,0,0,0.773065436297433,0.00126715558712362,9.44692106061491E-36,-1.02449071894124E-20,0.000640313361347125,-4.33108489598282E-19,0.000640313361347125,0,0,0,0,0,0,package://x_omni4wd_description/meshes/front_left_wheel_link.STL,1,0.949019607843137,0.898039215686275,1,0,0,0,0,0,0,package://x_omni4wd_description/meshes/front_left_wheel_link.STL,,omni_wheel127-1/omni_wheel127_1-1/whell127-1;omni_wheel127-1/omni_wheel127_2-1/whell127-1;omni_wheel127-1/wheel127_flange-1,Coordinate System2,Axis2,front_left_wheel_link_joint,continuous,0.146755754191312,0.146766203612331,-0.0305,0,0,0.785398163397444,base_link,-1,0,0,,,,,,,,,,,,
roller_wheel_21_1_link,1.66533453693773E-16,-4.16333634234434E-17,0,0,0,0,0.00633345078963702,4.41596689582046E-07,-2.11758236813575E-22,1.80982355914373E-22,3.79745792533149E-07,2.56216260660151E-23,3.79745792533149E-07,0,0,0,0,0,0,package://x_omni4wd_description/meshes/roller_wheel_21_1_link.STL,0.298039215686275,0.298039215686275,0.298039215686275,1,0,0,0,0,0,0,package://x_omni4wd_description/meshes/roller_wheel_21_1_link.STL,,omni_wheel127-1/omni_wheel127_1-1/wheel127_roller-1,Coordinate System21_1,Axis21_1,roller_wheel_21_1_link_joint,continuous,0.048,0.0534344213373428,-0.0107243935187579,1.5707963267949,1.37272588896799,-1.5707963267949,front_left_wheel_link,1,0,0,,,,,,,,,,,,
roller_wheel_21_2_link,1.11022302462516E-16,2.77555756156289E-17,0,0,0,0,0.006333450789637,4.41596689582044E-07,-2.34257549475017E-21,2.44033039515933E-22,3.79745792533147E-07,2.69870435162725E-23,3.79745792533147E-07,0,0,0,0,0,0,package://x_omni4wd_description/meshes/roller_wheel_21_2_link.STL,0.298039215686275,0.298039215686275,0.298039215686275,1,0,0,0,0,0,0,package://x_omni4wd_description/meshes/roller_wheel_21_2_link.STL,,omni_wheel127-1/omni_wheel127_1-1/wheel127_roller-2,Coordinate System21_2,Axis21_2,roller_wheel_21_2_link_joint,continuous,0.048,0.0507499406035168,0.0198668952969505,-1.5707963267949,1.1976681003328,1.5707963267949,front_left_wheel_link,1,0,0,,,,,,,,,,,,
roller_wheel_21_3_link,5.55111512312578E-17,1.11022302462516E-16,-5.55111512312578E-17,0,0,0,0.00633345078963702,4.41596689582046E-07,3.63959469523332E-22,1.85288457211878E-22,3.79745792533149E-07,3.30872245021211E-23,3.79745792533149E-07,0,0,0,0,0,0,package://x_omni4wd_description/meshes/roller_wheel_21_3_link.STL,0.298039215686275,0.298039215686275,0.298039215686275,1,0,0,0,0,0,0,package://x_omni4wd_description/meshes/roller_wheel_21_3_link.STL,,omni_wheel127-1/omni_wheel127_1-1/wheel127_roller-3,Coordinate System21_3,Axis21_3,roller_wheel_21_3_link_joint,continuous,0.0479999999999999,0.0319527123100236,0.0441505852286446,2.61131629917457,0.626469436043706,1.5707963267949,front_left_wheel_link,1,0,0,,,,,,,,,,,,
roller_wheel_21_4_link,0,0,0,0,0,0,0.006333450789637,4.41596689582045E-07,-1.6940658945086E-21,2.85769890350579E-22,3.79745792533147E-07,-4.23280023907002E-23,3.79745792533147E-07,0,0,0,0,0,0,package://x_omni4wd_description/meshes/roller_wheel_21_4_link.STL,0.298039215686275,0.298039215686275,0.298039215686275,1,0,0,0,0,0,0,package://x_omni4wd_description/meshes/roller_wheel_21_4_link.STL,,omni_wheel127-1/omni_wheel127_1-1/wheel127_roller-4,Coordinate System21_4,Axis21_4,roller_wheel_21_4_link_joint,continuous,0.048,0.00301072362517887,0.0544167763033657,-1.5707963267949,0.0552707717546862,1.5707963267949,front_left_wheel_link,1,0,0,,,,,,,,,,,,
roller_wheel_21_5_link,1.38777878078145E-16,0,0,0,0,0,0.00633345078963701,4.41596689582045E-07,-1.52201232709757E-21,-6.06714364437134E-22,3.79745792533148E-07,-3.98238482972572E-24,3.79745792533148E-07,0,0,0,0,0,0,package://x_omni4wd_description/meshes/roller_wheel_21_5_link.STL,0.298039215686275,0.298039215686275,0.298039215686275,1,0,0,0,0,0,0,package://x_omni4wd_description/meshes/roller_wheel_21_5_link.STL,,omni_wheel127-1/omni_wheel127_1-1/wheel127_roller-5,Coordinate System21_5,Axis21_5,roller_wheel_21_5_link_joint,continuous,0.048,-0.0268871485378996,0.0474060253923295,-1.5707963267949,-0.515927892534373,1.5707963267949,front_left_wheel_link,1,0,0,,,,,,,,,,,,
roller_wheel_21_6_link,1.11022302462516E-16,2.77555756156289E-17,0,0,0,0,0.00633345078963701,4.41596689582045E-07,-2.03817302933066E-21,2.3419446900272E-22,3.79745792533148E-07,-1.0188105792243E-23,3.79745792533148E-07,0,0,0,0,0,0,package://x_omni4wd_description/meshes/roller_wheel_21_6_link.STL,0.298039215686275,0.298039215686275,0.298039215686275,1,0,0,0,0,0,0,package://x_omni4wd_description/meshes/roller_wheel_21_6_link.STL,,omni_wheel127-1/omni_wheel127_1-1/wheel127_roller-6,Coordinate System21_6,Axis21_6,roller_wheel_21_6_link_joint,continuous,0.048,-0.048248541015704,0.0253441963741914,-1.5707963267949,-1.08712655682343,1.5707963267949,front_left_wheel_link,1,0,0,,,,,,,,,,,,
roller_wheel_21_7_link,5.55111512312578E-17,6.93889390390723E-18,0,0,0,0,0.00633345078963701,4.41596689582045E-07,-1.44591171074269E-21,-5.34298049104719E-22,3.79745792533148E-07,-1.98747317600796E-23,3.79745792533148E-07,0,0,0,0,0,0,package://x_omni4wd_description/meshes/roller_wheel_21_7_link.STL,0.298039215686275,0.298039215686275,0.298039215686275,1,0,0,0,0,0,0,package://x_omni4wd_description/meshes/roller_wheel_21_7_link.STL,,omni_wheel127-1/omni_wheel127_1-1/wheel127_roller-7,Coordinate System21_7,Axis21_7,roller_wheel_21_7_link_joint,continuous,0.048,-0.0542913626289187,-0.00476423591922487,1.5707963267949,-1.4832674324773,-1.5707963267949,front_left_wheel_link,1,0,0,,,,,,,,,,,,
roller_wheel_21_8_link,5.55111512312578E-17,5.55111512312578E-17,0,0,0,0,0.00633345078963703,4.41596689582046E-07,-1.07202607386872E-21,-4.36807671496513E-23,3.79745792533149E-07,-5.76240896143865E-23,3.79745792533149E-07,0,0,0,0,0,0,package://x_omni4wd_description/meshes/roller_wheel_21_8_link.STL,0.298039215686275,0.298039215686275,0.298039215686275,1,0,0,0,0,0,0,package://x_omni4wd_description/meshes/roller_wheel_21_8_link.STL,,omni_wheel127-1/omni_wheel127_1-1/wheel127_roller-8,Coordinate System21_8,Axis21_8,roller_wheel_21_8_link_joint,continuous,0.048,-0.043097060211885,-0.0333600569707765,1.5707963267949,-0.912068768188242,-1.5707963267949,front_left_wheel_link,1,0,0,,,,,,,,,,,,
